n,time,set,threshold,algo
1000,1219,17,8,0
5000,4532,13,8,0
1000,308,8,8,0
50000,67247,11,8,0
500000,395270,15,8,0
100000,87978,8,8,0
50000,24112,2,8,0
50000,77742,16,8,0
5000,7364,27,8,0
100000,79354,12,8,0
100000,113168,25,8,0
500000,651208,27,8,0
500000,685265,26,8,0
500000,304113,7,8,0
50000,28902,6,8,0
10000,11643,17,8,0
50000,71976,17,8,0
10000,19420,11,8,0
5000,8730,17,8,0
500000,571696,14,8,0
5000,1837,4,8,0
10000,9087,7,8,0
1000,611,21,8,0
5000,3837,29,8,0
500000,320057,3,8,0
100000,117425,22,8,0
50000,38443,19,8,0
1000,278,2,8,0
50000,90232,22,8,0
5000,3715,8,8,0
1000,363,11,8,0
10000,4019,5,8,0
1000,427,14,8,0
10000,4135,6,8,0
50000,36628,8,8,0
1000,874,22,8,0
10000,12785,21,8,0
50000,46008,9,8,0
5000,3974,6,8,0
10000,10341,16,8,0
1000,506,10,8,0
500000,301828,9,8,0
100000,158074,10,8,0
1000,726,1,8,0
500000,541134,17,8,0
1000,309,3,8,0
100000,80445,6,8,0
1000,334,5,8,0
10000,15023,27,8,0
1000,1407,28,8,0
10000,15684,28,8,0
10000,15378,24,8,0
50000,24176,4,8,0
1000,1368,20,8,0
100000,83246,9,8,0
1000,1359,13,8,0
5000,2818,14,8,0
100000,84088,3,8,0
500000,293066,4,8,0
100000,143646,18,8,0
10000,12038,26,8,0
50000,30407,0,8,0
10000,20363,22,8,0
100000,108704,21,8,0
1000,322,0,8,0
1000,314,4,8,0
1000,476,16,8,0
5000,3882,20,8,0
5000,1920,0,8,0
500000,576747,25,8,0
100000,84265,11,8,0
50000,86433,29,8,0
1000,967,19,8,0
100000,132927,23,8,0
5000,1908,1,8,0
100000,126077,19,8,0
1000,685,9,8,0
500000,568617,20,8,0
5000,7159,22,8,0
50000,34534,7,8,0
10000,5337,15,8,0
100000,129895,15,8,0
50000,102026,28,8,0
500000,728670,10,8,0
10000,13373,25,8,0
5000,4639,15,8,0
10000,8893,10,8,0
500000,309707,0,8,0
10000,7734,2,8,0
5000,2333,19,8,0
500000,312987,1,8,0
50000,63436,24,8,0
10000,3903,1,8,0
100000,63096,2,8,0
50000,127079,20,8,0
10000,10474,18,8,0
1000,598,29,8,0
100000,49731,0,8,0
5000,1963,9,8,0
100000,101568,27,8,0
50000,53827,27,8,0
5000,3401,11,8,0
500000,958949,22,8,0
1000,695,18,8,0
100000,99573,16,8,0
50000,69491,10,8,0
50000,76212,23,8,0
10000,11526,13,8,0
500000,667918,29,8,0
10000,8451,4,8,0
500000,469417,11,8,0
5000,7850,23,8,0
10000,4030,3,8,0
100000,112571,24,8,0
100000,143782,28,8,0
500000,496389,18,8,0
1000,875,23,8,0
100000,139490,20,8,0
50000,102743,14,8,0
1000,1478,15,8,0
1000,526,7,8,0
1000,907,26,8,0
500000,492153,19,8,0
10000,16083,23,8,0
5000,1780,3,8,0
10000,4183,8,8,0
10000,6775,14,8,0
50000,43646,13,8,0
5000,4189,10,8,0
50000,38809,3,8,0
100000,80265,1,8,0
10000,9101,0,8,0
5000,1953,7,8,0
50000,41241,5,8,0
5000,4545,18,8,0
5000,1852,5,8,0
50000,87547,25,8,0
10000,8107,12,8,0
500000,300452,5,8,0
5000,5542,26,8,0
500000,697992,24,8,0
5000,8226,25,8,0
100000,159408,26,8,0
10000,20152,19,8,0
50000,94395,21,8,0
500000,478240,28,8,0
10000,3979,9,8,0
10000,17235,20,8,0
50000,23068,1,8,0
50000,53189,26,8,0
100000,70049,4,8,0
100000,85012,7,8,0
1000,308,6,8,0
500000,778355,16,8,0
100000,114150,29,8,0
500000,293334,8,8,0
5000,4946,24,8,0
50000,109993,18,8,0
500000,514733,12,8,0
5000,1896,2,8,0
500000,300086,6,8,0
1000,656,25,8,0
1000,810,24,8,0
100000,117243,13,8,0
500000,675132,23,8,0
10000,10302,29,8,0
500000,290324,2,8,0
500000,489579,13,8,0
100000,155954,17,8,0
5000,5604,12,8,0
50000,85796,12,8,0
5000,8665,28,8,0
50000,66839,15,8,0
1000,708,27,8,0
100000,72790,5,8,0
5000,6151,16,8,0
5000,3847,21,8,0
500000,607094,21,8,0
100000,190817,14,8,0
1000,561.3,12,1,1
1000,465.2,17,1,1
5000,2318.9,13,1,1
1000,586.2,8,1,1
50000,22913.6,11,1,1
500000,232784,15,1,1
100000,42556.2,8,1,1
50000,19116,2,1,1
50000,21313.3,16,1,1
5000,1578.5,27,1,1
100000,44439.8,12,1,1
100000,41469,25,1,1
500000,234662,27,1,1
500000,232142,26,1,1
500000,232890,7,1,1
50000,19532.1,6,1,1
10000,5379.2,17,1,1
50000,21066.2,17,1,1
10000,5892,11,1,1
5000,2733.3,17,1,1
500000,239554,14,1,1
5000,2725,4,1,1
10000,5548,7,1,1
1000,267.6,21,1,1
5000,1540.5,29,1,1
500000,235002,3,1,1
100000,45548.4,22,1,1
